POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,Sai Sudharsan,638,14,14,1,100,49.08,404,157.92,1,7,62,29
2,Shubman Gill,616,13,13,0,86,47.38,381,161.67,0,6,57,30
3,Heinrich Klaasen,606,14,14,2,69,50.5,380,159.47,0,6,46,30
4,Vaibhav Sooryavanshi,579,13,13,0,103,44.54,245,236.32,1,3,50,53
5,Ishan Kishan,569,14,14,0,91,40.64,319,178.36,0,6,57,29
6,Abhishek Sharma,563,14,14,1,135,43.31,273,206.22,1,4,50,43
7,Mitchell Marsh,563,13,13,0,111,43.31,345,163.18,1,3,51,36
8,Virat Kohli,557,14,14,3,105,50.64,340,163.82,1,4,59,21
9,KL Rahul,533,13,13,1,152,44.42,310,171.93,1,4,51,27
10,Prabhsimran Singh,510,14,13,1,80,42.5,302,168.87,0,6,55,23
11,Shreyas Iyer,498,14,13,4,101,55.33,295,168.81,1,5,39,30
12,Cooper Connolly,491,14,13,2,107,44.64,301,163.12,1,2,43,32
13,Sanju Samson,477,14,14,3,115,43.36,288,165.62,2,1,53,24
14,Jos Buttler,469,14,14,2,60,39.08,302,155.29,0,4,46,24
15,Ryan Rickelton,436,11,11,1,123,43.6,233,187.12,1,2,30,37
16,Devdutt Padikkal,433,14,13,1,61,36.08,252,171.82,0,3,44,24
17,Angkrish Raghuvanshi,422,13,12,2,82,42.2,288,146.52,0,5,40,19
18,Dhruv Jurel,420,13,13,2,81,38.18,280,150.0,0,5,38,19
19,Rajat Patidar,393,13,12,1,63,35.73,214,183.64,0,4,24,32
20,Travis Head,393,14,14,0,76,28.07,233,168.66,0,2,44,22
21,Yashasvi Jaiswal,370,13,13,2,77,33.64,232,159.48,0,3,47,15
22,Priyansh Arya,364,13,13,0,93,28.0,172,211.62,0,3,27,32
23,Tilak Varma,356,13,13,2,101,32.36,239,148.95,1,2,30,17
24,Ruturaj Gaikwad,337,14,14,2,74,28.08,273,123.44,0,2,29,12
25,Finn Allen,329,10,10,1,100,36.56,150,219.33,1,1,30,27
26,Cameron Green,320,13,13,4,79,35.56,218,146.78,0,2,22,17
27,Naman Dhir,312,13,13,2,57,28.36,211,147.86,0,2,30,13
28,Rishabh Pant,312,14,13,2,68,28.36,226,138.05,0,1,30,11
29,Washington Sundar,303,14,13,5,55,37.88,197,153.8,0,2,32,11
30,Rinku Singh,295,13,10,6,83,73.75,197,149.74,0,2,27,11
31,Kartik Sharma,295,11,11,2,71,32.78,216,136.57,0,2,24,16
32,Rohit Sharma,283,8,8,1,84,40.43,176,160.79,0,2,21,21
33,Pathum Nissanka,278,10,10,0,62,27.8,175,158.85,0,2,33,12
34,Tim David,277,14,13,6,70,39.57,140,197.85,0,1,19,22
35,Tristan Stubbs,275,13,12,4,60,34.38,215,127.9,0,2,18,9
36,Ajinkya Rahane,272,13,13,1,67,22.67,209,130.14,0,1,21,14
37,Shivam Dube,270,13,12,5,47,38.57,170,158.82,0,0,24,15
38,Josh Inglis,266,5,5,0,85,53.2,143,186.01,0,3,32,12
39,Nitish Kumar Reddy,264,13,12,3,56,29.33,156,169.23,0,1,16,19
40,Riyan Parag,258,11,11,1,90,25.8,170,151.76,0,2,19,17
41,Sameer Rizvi,252,11,9,2,90,36.0,171,147.36,0,2,15,17
42,Donovan Ferreira,249,12,10,3,69,35.57,142,175.35,0,2,22,17
43,Nicholas Pooran,234,14,14,1,63,18.0,183,127.86,0,1,11,19
44,Aiden Markram,231,12,11,2,45,25.67,167,138.32,0,0,20,11
45,Nitish Rana,225,9,9,0,91,25.0,149,151.0,0,2,27,10
46,Marcus Stoinis,216,13,9,3,62,36.0,120,180.0,0,1,23,11
47,Ayush Badoni,215,10,10,0,54,21.5,141,152.48,0,1,23,9
48,Surya Kumar Yadav,210,12,12,0,51,17.5,141,148.93,0,1,25,6
49,Phil Salt,202,6,6,0,78,33.67,120,168.33,0,2,16,11
50,Ayush Mhatre,201,6,6,0,73,33.5,113,177.87,0,2,20,12
51,Ravindra Jadeja,190,11,8,4,45,47.5,142,133.8,0,0,15,4
52,David Miller,183,10,9,4,51,36.6,118,155.08,0,1,15,11
53,Krunal Pandya,182,14,7,3,73,45.5,125,145.6,0,1,15,9
54,Hardik Pandya,172,9,9,1,40,21.5,134,128.35,0,0,18,5
55,Mukul Choudhary,170,10,10,4,54,28.33,120,141.66,0,1,11,12
56,Sarfaraz Khan,161,8,7,0,50,23.0,95,169.47,0,1,23,6
57,Rovman Powell,161,10,6,2,40,40.25,120,134.16,0,0,13,9
58,Venkatesh Iyer,158,5,4,2,73,79.0,89,177.52,0,1,14,10
59,Suryansh Shedge,158,7,7,3,57,39.5,90,175.55,0,1,9,12
60,Ashutosh Sharma,153,7,7,2,39,30.6,83,184.33,0,0,13,11
61,Dewald Brevis,151,11,8,0,44,18.88,118,127.96,0,0,8,10
62,Jamie Overton,136,10,6,2,43,34.0,86,158.13,0,0,13,6
63,Axar Patel,134,13,10,2,56,16.75,107,125.23,0,1,13,4
64,Shashank Singh,132,12,9,3,56,22.0,70,188.57,0,1,11,8
65,Quinton De Kock,132,3,3,1,112,66.0,81,162.96,1,0,9,9
66,Urvil Patel,129,7,7,0,65,18.43,64,201.56,0,1,6,14
67,Sherfane Rutherford,123,8,7,2,71,24.6,75,164.0,0,1,5,12
68,Salil Arora,121,13,10,4,30,20.17,77,157.14,0,0,9,9
69,Abdul Samad,116,8,8,2,37,19.33,88,131.81,0,0,10,5
70,Will Jacks,106,6,6,2,46,26.5,58,182.75,0,0,9,7
71,Rahul Tewatia,98,13,12,7,27,19.6,75,130.66,0,0,9,3
72,Jacob Bethell,96,7,7,0,27,13.71,77,124.67,0,0,12,3
73,Himmat Singh,92,6,5,2,40,30.67,69,133.33,0,0,5,5
74,Prashant Veer,90,6,5,3,43,45.0,67,134.32,0,0,10,3
75,Jitesh Sharma,90,14,10,1,23,10.0,76,118.42,0,0,7,5
76,Abishek Porel,86,3,3,0,51,28.67,70,122.85,0,1,11,1
77,Romario Shepherd,83,13,7,3,23,20.75,66,125.75,0,0,6,5
78,Ramandeep Singh,82,8,6,1,35,16.4,68,120.58,0,0,8,2
79,Aniket Verma,79,10,8,2,43,13.17,54,146.29,0,0,6,5
80,Shimron Hetmyer,78,8,7,1,22,13.0,69,113.04,0,0,5,3
81,Shubham Dubey,76,6,5,2,31,25.33,52,146.15,0,0,8,3
82,Glenn Phillips,67,6,5,1,25,16.75,54,124.07,0,0,4,2
83,Nehal Wadhera,65,8,6,0,25,10.83,57,114.03,0,0,4,4
84,Matthew Short,60,3,3,0,34,20.0,51,117.64,0,0,6,1
85,Anshul Kamboj,58,14,4,2,19,29.0,38,152.63,0,0,3,4
86,Shahbaz Ahamad,58,5,2,2,43,0.0,41,141.46,0,0,4,3
87,Jason Holder,58,8,5,2,23,19.33,44,131.81,0,0,2,3
88,Azmatullah Omarzai,52,3,2,0,38,26.0,27,192.59,0,0,3,5
89,Marco Jansen,51,13,5,1,20,12.75,45,113.33,0,0,1,3
90,Corbin Bosch,48,5,3,3,32,0.0,27,177.77,0,0,5,2
91,Manish Pandey,45,5,1,0,45,45.0,33,136.36,0,0,6,0
92,Anukul Roy,43,13,6,3,29,14.33,31,138.7,0,0,2,2
93,Shahrukh Khan,43,9,5,1,17,10.75,33,130.3,0,0,3,2
94,Sunil Narine,40,12,4,1,24,13.33,32,125.0,0,0,2,4
